OrderID,ProductID,Quantity
007854645,977,2
007854645,112,2
007854645,407,4
007854645,153,3
003353645,800,1
003353645,798,3
003353645,114,2
003353645,287,2
004868789,146,3
004868789,950,4
004868789,517,4
004868789,354,1
004868789,4,3
004868789,497,2
004794075,473,4
004794075,655,4
004794075,652,3
001785216,238,2
008588996,61,1
008588996,98,1
008588996,34,2
008588996,650,3
008588996,780,3
001039828,162,4
001039828,28,2
001039828,151,2
001039828,388,1
001039828,794,2
001039828,930,3
002023293,293,3
002023293,108,4
002023293,619,2
002023293,123,4
002023293,657,1
002023293,679,2
007043600,245,2
007043600,104,4
007043600,886,2
007043600,704,2
007043600,720,1
005035467,703,2
005035467,891,4
005035467,837,4
005035467,865,2
009934976,606,2
009934976,990,1
009934976,291,2
009934976,854,3
009934976,214,1
009934976,603,1
007299629,640,2
007299629,440,2
007299629,955,4
007299629,123,2
007299629,454,1
004743366,688,3
004743366,345,3
004743366,971,4
003783276,268,3
003783276,43,1
008846741,685,1
008846741,698,2
008846741,383,3
008846741,722,3
008846741,474,4
001651131,472,3
001651131,452,1
001651131,238,2
001651131,46,3
001651131,162,1
001651131,174,4
009847360,477,3
009847360,406,1
000854887,708,4
000854887,31,2
009555026,885,3
009555026,732,1
009555026,83,3
009140790,890,1
009140790,374,3
009140790,257,3
009140790,139,4
009140790,982,3
002796676,13,4
008034213,166,3
008034213,801,1
008034213,752,1
008134551,790,4
008134551,431,2
008134551,993,3
007333416,219,1
007333416,148,4
007333416,629,4
007333416,258,4
007333416,460,1
007333416,46,4
007948185,384,2
004747744,620,4
004747744,644,3
004388512,599,2
001835809,635,4
001835809,949,2
001835809,930,2
002905650,523,3
005760711,696,3
005760711,56,3
005760711,768,4
005760711,838,2
005760711,34,2
002342136,495,2
002342136,787,2
002342136,122,2
003911306,629,1
007603971,778,2
007911912,462,4
007911912,929,4
002950140,839,3
002950140,791,1
002950140,163,3
002143866,900,2
002143866,902,1
002143866,170,3
002143866,356,2
003172484,141,4
003172484,530,2
003172484,935,1
008255352,257,1
000356215,210,3
000356215,863,1
000356215,795,1
000356215,787,1
000356215,1,2
002020946,50,2
002020946,187,1
002020946,687,3
000907913,261,2
000907913,926,2
002804472,726,1
002804472,724,2
002804472,876,4
002804472,663,4
004495639,443,1
004495639,625,2
004495639,679,2
004495639,696,2
006366763,245,4
006366763,390,1
006366763,807,1
006366763,328,1
006366763,746,2
006366763,566,1
001702859,863,1
001702859,950,3
001702859,775,4
001702859,713,1
001702859,142,3
001702859,751,1
000703938,270,3
000703938,141,1
001624966,50,2
001624966,519,2
001624966,601,2
001167491,148,3
001167491,499,4
001167491,772,1
002699158,608,3
008202954,339,3
008202954,575,2
006929001,930,1
006929001,320,4
006929001,74,1
006929001,242,2
006929001,457,4
006929001,881,4
005678098,784,4
005678098,418,2
005678098,798,1
005678098,422,3
002341979,248,2
007942000,713,4
007942000,330,1
007942000,28,4
005894990,952,1
008428370,57,4
008428370,53,4
008428370,791,3
008428370,889,4
008428370,770,1
008428370,44,1
002083458,666,4
002083458,304,1
002083458,676,3
002083458,740,3
002083458,976,4
002083458,653,2
008087354,540,3
008087354,50,3
006987079,673,1
006987079,771,1
006987079,134,2
006987079,783,4
006987079,345,3
002714675,31,1
002714675,614,4
002714675,354,2
004821114,14,3
004821114,794,4
009918568,362,1
009918568,502,3
009918568,430,1
001879814,645,4
008919206,164,4
008919206,810,1
008919206,260,4
008919206,153,4
006090511,2,3
006090511,879,4
006090511,903,2
006090511,36,1
009730784,661,1
009730784,292,2
009730784,369,3
009730784,32,2
009730784,808,4
002272857,40,4
002272857,673,2
