TrackingNumber,Carrier,DeliveryDate
00390624021,Canada Post,9/16/2015
00069283169,DHL Express,9/19/2017
00405153995,Freightera,6/30/2018
00358913521,Canada Post,7/10/2015
00835953896,Freightera,5/16/2015
00319124818,eShipper,12/26/2014
00824886458,Purolator,2/1/2014
00686835197,Canpar Express,7/14/2013
00187427849,Purolator,11/1/2013
00168223836,Canada Post,2/2/2019
00633155432,Canada Post,11/1/2011
00495327659,eShipper,4/21/2013
00907529396,Freightera,3/9/2020
00334754340,eShipper,10/13/2014
00889988431,Canpar Express,10/1/2019
00372599333,Canpar Express,1/11/2012
00293983319,eShipper,4/21/2015
00052546319,Freightera,6/4/2015
00895560032,Purolator,1/16/2019
00942133385,Freightera,7/13/2019
00630006350,Canpar Express,4/8/2016
00296445331,Purolator,7/25/2020
00278794094,eShipper,8/24/2010
00977791285,DHL Express,4/15/2012
00020244180,DHL Express,1/16/2015
00588906102,Canpar Express,9/25/2011
00258085899,eShipper,1/30/2013
00803764188,Purolator,10/2/2018
00413115773,Canpar Express,5/27/2013
00984188935,Canada Post,1/5/2020
00557502044,DHL Express,12/11/2015
00851847993,eShipper,7/22/2014
00621012647,Canpar Express,10/6/2021
00254053744,Purolator,1/30/2020
00143596931,Purolator,7/30/2012
00176445122,eShipper,7/28/2014
00824622263,Purolator,12/16/2015
00357144027,Purolator,2/27/2019
00886654825,Canpar Express,12/1/2010
00736639581,Freightera,11/28/2020
00316057275,Canpar Express,12/6/2017
00347509257,Purolator,4/20/2020
00808043863,eShipper,3/6/2015
00252051933,DHL Express,8/31/2011
00097074655,Purolator,1/15/2018
00212129953,Freightera,7/3/2015
00532755588,Canpar Express,10/22/2018
00842127156,eShipper,12/9/2013
00989811231,Canpar Express,5/1/2016
00529436762,Purolator,11/1/2019
00761239644,DHL Express,2/13/2012
00107029122,Freightera,8/16/2017
00631816339,Canada Post,8/26/2019
00826250657,Canada Post,9/5/2011
00101752855,Canpar Express,6/22/2016
00963373512,DHL Express,8/19/2014
00007843547,Canpar Express,12/13/2010
00766502616,Canada Post,4/16/2021
00187544182,eShipper,9/10/2010
00323132473,DHL Express,11/17/2015
00293039526,eShipper,5/14/2012
00436034359,Freightera,12/17/2018
00753401242,eShipper,8/23/2017
00644553516,Canpar Express,7/5/2013
00874104414,DHL Express,10/23/2017
00298544722,Canpar Express,3/8/2018
00777795837,eShipper,11/8/2015
00248423600,Purolator,1/14/2013
00835467246,Canpar Express,12/28/2020
00141735478,eShipper,9/17/2020
00514753939,Freightera,3/27/2017
00202000650,Purolator,6/16/2011
00875075775,eShipper,3/20/2020
00548372736,DHL Express,1/22/2013
00473916840,Canpar Express,9/24/2010
00271055633,Canpar Express,2/17/2016
00841264276,Canada Post,7/25/2012
00709861990,Canada Post,9/24/2014
00635285771,Freightera,6/17/2013
00165406942,Canada Post,6/6/2018
00122364578,Freightera,6/1/2016
00681158613,Purolator,5/20/2015
00858984082,DHL Express,9/30/2012
00765840320,DHL Express,7/9/2013
00828133327,Freightera,6/8/2011
00936320466,Canpar Express,2/15/2021
00817105098,Canada Post,4/19/2017
00007334963,eShipper,5/21/2011
00456099439,Canada Post,9/19/2017
00104176456,Purolator,7/22/2016
00333688618,eShipper,8/26/2015
00614086901,eShipper,1/13/2018
00568698088,Freightera,8/20/2016
00615631307,Canada Post,12/25/2015
00753579653,Freightera,4/28/2011
00430484828,Freightera,8/18/2011
00844947762,Canada Post,4/21/2013
00944606082,Purolator,6/25/2014
00807984840,Purolator,7/8/2012
00771701691,eShipper,2/20/2011
00388613961,Freightera,3/26/2020
00299380061,DHL Express,11/14/2020
00143862328,Canada Post,8/4/2012
00107671243,Freightera,7/3/2021
00015250368,Freightera,4/6/2014
00930859403,Canada Post,7/29/2017
00991621701,Purolator,10/28/2016
00113515332,eShipper,2/20/2013
00231613774,Freightera,9/28/2012
00660643585,Canpar Express,5/6/2014
00498463146,Freightera,2/5/2019
00581590647,Freightera,3/7/2011
00219061731,eShipper,3/8/2011
00809899541,Freightera,2/23/2018
00838255283,Canada Post,5/5/2013
00111877147,Freightera,1/16/2018
00704463165,Canada Post,1/11/2020
00504690345,Purolator,9/7/2011
00382779896,eShipper,4/17/2012
00266884785,Freightera,6/13/2011
00690059139,DHL Express,8/9/2013
00197538672,eShipper,4/15/2018
00705377681,DHL Express,1/11/2010
00335493270,Purolator,8/20/2019
00218061421,eShipper,8/8/2020
00179162863,Purolator,10/8/2018
00140035202,Purolator,1/12/2015
00059919893,Canada Post,3/10/2016
00184661394,Canpar Express,11/25/2011
00068102430,Purolator,3/17/2012
00942061667,Purolator,5/25/2011
00204413724,DHL Express,5/17/2013
00809497546,DHL Express,2/8/2010
00237999530,Canpar Express,7/2/2017
00336767274,Purolator,9/4/2011
00184844993,DHL Express,11/3/2019
00879127330,Freightera,9/3/2011
00418972662,Purolator,8/4/2019
00604793290,Canada Post,11/1/2017
00667635920,Canada Post,6/12/2017
00232307616,Canpar Express,12/29/2011
00547653383,Freightera,9/24/2019
00220883152,Canpar Express,1/8/2019
00373918748,DHL Express,7/8/2014
00486049228,Canada Post,8/31/2021
00791119570,DHL Express,7/1/2012
00691032141,eShipper,4/18/2019
00553493344,Canpar Express,9/2/2015
00907568861,DHL Express,8/21/2016
00057770449,Purolator,1/29/2013
00372523954,Canpar Express,7/12/2020
00360350536,Canada Post,9/16/2015
00718741668,Canada Post,4/26/2011
00364882939,eShipper,11/22/2020
00887572606,Freightera,6/16/2014
00523778679,DHL Express,7/24/2016
00040300294,DHL Express,1/10/2020
00669303489,Canpar Express,8/8/2015
00042949560,DHL Express,8/5/2019
00315145521,Canada Post,12/26/2011
00632372676,Freightera,1/13/2019
00775034938,Purolator,1/14/2017
00630655863,DHL Express,5/4/2013
00521105267,eShipper,1/20/2020
00927916617,eShipper,8/18/2014
00993483652,Purolator,2/19/2012
00041272875,Purolator,9/2/2015
00140101883,Freightera,11/15/2012
00403572200,Freightera,9/11/2014
00865960052,Freightera,3/26/2020
00006682579,Freightera,11/26/2018
00239326093,Purolator,9/14/2020
00101306471,Canpar Express,3/19/2019
00531400210,eShipper,1/7/2020
00548584457,Canpar Express,11/27/2011
00765454492,Canpar Express,12/28/2019
00354317827,Purolator,2/7/2021
00195090091,Freightera,10/30/2012
00250263190,Purolator,11/3/2014
00364477353,Canada Post,7/18/2018
00595891828,Freightera,5/19/2012
00590778454,Canada Post,10/25/2011
00058130181,Purolator,2/12/2020
00132786122,Purolator,9/12/2017
00218890593,Canpar Express,11/4/2020
00423918096,Canpar Express,10/1/2013
00226756909,Canpar Express,3/21/2010
00280552019,eShipper,10/12/2013
00588987158,DHL Express,5/22/2018
00328607678,Freightera,6/4/2018
00357358618,Freightera,2/11/2016
00299347602,eShipper,8/19/2021
00972414075,eShipper,11/5/2018
00375059936,Canada Post,6/11/2011
00748718030,Canpar Express,9/10/2020
00006846615,Freightera,9/4/2015
00416382259,Canada Post,10/22/2015
00646145450,Freightera,11/21/2015
00362217844,Freightera,12/10/2011
00148502819,Purolator,11/20/2014
00201237596,eShipper,4/26/2012
00682073921,Freightera,11/28/2012
00716245810,DHL Express,11/4/2015
00646370149,eShipper,12/4/2017
00978657600,eShipper,6/7/2010
00075302394,Freightera,9/4/2016
00021095536,Freightera,11/22/2018
00182956346,Freightera,3/22/2021
00963337615,DHL Express,10/27/2021
00507016118,Purolator,3/23/2021
00608889625,Canada Post,10/18/2018
00395139091,DHL Express,2/19/2017
00050279342,Purolator,10/16/2014
00712022289,Freightera,9/10/2011
00946272057,Canpar Express,4/2/2011
00814564727,DHL Express,5/4/2016
00677818856,DHL Express,4/27/2012
00738759602,Canpar Express,7/7/2020
00073436384,DHL Express,6/19/2017
00231058521,Freightera,10/19/2012
00961605034,Canada Post,6/25/2018
00422675370,Canpar Express,6/5/2018
00249173892,Canada Post,11/23/2019
00370257787,Freightera,11/30/2016
00275502806,Canada Post,4/6/2011
00890231691,Canada Post,3/2/2010
00146569143,eShipper,9/22/2015
00133325020,Canpar Express,4/25/2020
00715517888,eShipper,1/27/2012
00240916011,Purolator,11/22/2013
00572712698,Freightera,1/11/2014
00656751418,Canada Post,11/5/2018
00037035675,Purolator,8/18/2012
00438873341,Purolator,6/7/2016
00909271271,Freightera,10/7/2016
00638477680,DHL Express,4/20/2015
00436205112,DHL Express,1/11/2017
